AC_TYPEID,Aircraft Group,Manufacturer,Aircraft Name,Aircraft Short Name
470,"Turbo-Prop, 1-Engine/2-Engine",GULFSTREAM AEROSPACE (GRUMMAN),GULFSTREAM I,G-159
483,"Turbo-Prop, 1-Engine/2-Engine",DEHAVILLAND,DEHAVILLAND DHC8-100 DASH-8,DASH8-1
486,"Turbo-Prop, 1-Engine/2-Engine",SHORT BROS.,SHORTS HARLAND SC-7 SKYVAN,SKYVAN
487,"Turbo-Prop, 1-Engine/2-Engine",SHORT BROS.,SHORTS 330,SHORT330
489,"Turbo-Prop, 1-Engine/2-Engine",SHORT BROS.,SHORTS 360,SHORT360
507,"Turbo-Prop, 4-Engine",ANTONOV DESIGN BUREAU,ANTONOV 12,AN-12
556,"Turbo-Prop, 4-Engine",LOCKHEED,LOCKHEED L100-30/L-382E,HERCULES
608,"Jet, 2-Engine",BOEING,BOEING 717-200,B717-2
612,"Jet, 2-Engine",BOEING,BOEING 737-700/700LR,B737-7
614,"Jet, 2-Engine",BOEING,BOEING 737-800,B737-8
616,"Jet, 2-Engine",BOEING,BOEING 737-500,B737-5
617,"Jet, 2-Engine",BOEING,BOEING 737-400,B737-4
619,"Jet, 2-Engine",BOEING,BOEING 737-300,B737-3
621,"Jet, 2-Engine",BOEING,BOEING 737-200C,B737-2C
622,"Jet, 2-Engine",BOEING,BOEING 757-200,B757-2
623,"Jet, 2-Engine",BOEING,BOEING 757-300,B757-3
624,"Jet, 2-Engine",BOEING,BOEING 767-400/ER,B767-4
625,"Jet, 2-Engine",BOEING,BOEING 767-200/ER/EM,B767-2/R
626,"Jet, 2-Engine",BOEING,BOEING 767-300/300ER,B767-3/R
627,"Jet, 2-Engine",BOEING,BOEING 777-200/200LR/233LR,B777-2
628,"Jet, 2-Engine",CANADAIR,CANADAIR RJ-100/RJ-100ER,RJ100/ER
629,"Jet, 2-Engine",CANADAIR,CANADAIR RJ-200ER /RJ-440,CRJ-2/4
631,"Jet, 2-Engine",CANADAIR,CANADAIR RJ-700,RJ-700
633,"Jet, 2-Engine",BOEING,BOEING 737-600,B737-6
635,"Jet, 2-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-15F,DC-9-15F
640,"Jet, 2-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-30,DC-9-30
650,"Jet, 2-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-9-50,DC-9-50
654,"Jet, 2-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 87,MD-87
655,"Jet, 2-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC9 SUPER 80/MD81/82/83/88,MD-80
656,"Jet, 2-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS MD-90,MD-90
647,"Jet, 2-Engine",CESSNA,CESSNA CITATION X MODEL CE750 X,CE-750X
775,"Jet, 3-Engine",DASSAULT FALCON,DASSAULT FALCON 7X,7X
882,"Jet, 4-Engine/6-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRAI A380-800,A380-8
684,"Jet, 2-Engine",RAYTHEON BEECHCRAFT,RAYTHEON BEECHCRAFT HAWKER 800XP,800XP
606,"Jet, 2-Engine",RAYTHEON BEECHCRAFT,RAYTHEON BEECHRAFT 390 PREMIER I,PREMIER
686,"Jet, 2-Engine",BOMBARDIER,LEARJET45,LEAR-45
671,"Jet, 2-Engine",GULFSTREAM,GULFSTREAM G450,G450
415,"Turbo-Prop, 1-Engine/2-Engine",CESSNA,CESSNA C208B/GRAND CARAVAN,CE-208B
620,"Jet, 2-Engine",BOEING,BOEING 737-100/200,B737-1/2
482,"Turbo-Prop, 1-Engine/2-Engine",DEHAVILLAND,DEHAVILLAND DHC8-400 DASH-8,DASH8-Q4
679,"Jet, 2-Engine",GULFSTREAM,GRUMMAN G-1159 GULFSTREAM II/III,G-III
609,"Jet, 2-Engine",BOMBARDIER,BOMBARDIER BD-100-1A10 CHALLENGER 300,BD-300
637,"Jet, 2-Engine",BOEING,BOEING 777-300/300ER/333ER,B777-3
648,"Jet, 2-Engine",GULFSTEAM,GULFSTREAM G200,G200
651,"Jet, 2-Engine",GULFSTEAM,GULFSTREAM G150,G150
652,"Jet, 2-Engine",CANADAIR,CANADAIR CL-600 CHALLENGER,CL-600
641,"Jet, 2-Engine",GULFSTREAM AEROSPACE,GULFSTREAM AEROSPACE G-III/G-IV,G-III/IV
643,"Jet, 2-Engine",ISRAEL AIRCRAFT INDUSTRIES,1124A WESTWIND II,WESTWIND
683,"Jet, 2-Engine",BOEING,BOEING B777-F,B777-F
873,"Jet, 4-Engine/6-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-200,A340-2
871,"Jet, 4-Engine/6-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-300,A340-3
872,"Jet, 4-Engine/6-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-500,A340-5
874,"Jet, 4-Engine/6-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340-600,A340-6
491,"Turbo-Prop, 1-Engine/2-Engine",BOMBARDIER,DEHAVILLAND DHC8-200Q DASH-8,DHC8-200
417,"Turbo-Prop, 1-Engine/2-Engine",CESSNA,CESSNA 406 CARAVAN II,CARAVNII
636,"Jet, 2-Engine",CESSNA,CESSNA CITATION II/ BRAVO,CITATNII
646,"Jet, 2-Engine",CESSNA,CESSNA CITATION X MODEL 650/550B/550XL,CITATNX
484,"Turbo-Prop, 1-Engine/2-Engine",DEHAVILLAND,DEHAVILLAND DHC8-300 DASH 8,DHC8-300
817,"Jet, 4-Engine/6-Engine",BOEING,BOEING 747-200/300,B747-2/3
644,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A-318,A318
476,"Turbo-Prop, 1-Engine/2-Engine",PIPER,PIPER PA-30/31T CHEYENNE II XL,PA-31T
770,"Jet, 3-Engine",DASSAULT FALCON,DASSAULT FALCON 900,FA-900
694,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A320-100/200,A320-1/2
687,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS A330-300,A330-3
677,"Jet, 2-Engine",EMBRAER,EMBRAER 170,EMB-170
194,"Piston, 2-Engine",PIPER,PIPER PA-31 (NAVAJO)/T-1020,NAVAJO
667,"Jet, 2-Engine",GULFSTREAM AEROSPACE,GULFSTREAM III/V/ G-V EXEC/ G-5/550,G-V
634,"Jet, 2-Engine",BOEING,BOEING 737-900,B737-9
658,"Jet, 2-Engine",BOMBARDIER,BOMBARDIER BD-700 GLOBAL EXPRESS,BD-700
673,"Jet, 2-Engine",EMBRAER,EMBRAER ERJ-175,ERJ-175
669,"Jet, 2-Engine",BOMBARDIER,BOMBARDIER CHALLENGER 604/605,CL-604/5
678,"Jet, 2-Engine",EMBRAER,EMBRAER 190,EMB-190
668,"Jet, 2-Engine",BOMBARDIER,CANADAIR (BOMBARDIER) CHALLLENGER 601,CL-601
771,"Jet, 3-Engine",DASSAULT FALCON,DASSAULT FALCON 50,FA-50
665,"Jet, 2-Engine",BRITISH AEROSP/HAWKER SIDDELEY,HAWKER SIDDELEY 125,HS-125
674,"Jet, 2-Engine",EMBRAER,EMBRAER-135,EMB-135
675,"Jet, 2-Engine",EMBRAER,EMBRAER-145,EMB-145
676,"Jet, 2-Engine",EMBRAER,EMBRAER-140,EMB-140
681,"Jet, 2-Engine",DASSAULT-BREGUET,DASSAULT-BREGUET MYSTERE-FALCON,FALCON
690,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A300B/C/F-100/200,A300-1/2
691,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A300-600/R/CF/RCF,A300-6
692,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A310-200C/F,A310-2CF
693,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A310-300,A310-3
696,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A330-200,A330-2
697,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A340,A340
698,"Jet, 2-Engine",AIRBUS INDUSTRIE,AIRBUS INDUSTRIE A319,A319
710,"Jet, 3-Engine",BOEING,BOEING 727-100,B727-100
715,"Jet, 3-Engine",BOEING,BOEING 727-200/231A,B727-2
730,"Jet, 3-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-10,DC-10-10
732,"Jet, 3-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-30,DC-10-30
735,"Jet, 3-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-10-30CF,DC10-30F
740,"Jet, 3-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS MD-11,MD-11
816,"Jet, 4-Engine/6-Engine",BOEING,BOEING 747-100,B747-100
818,"Jet, 4-Engine/6-Engine",BOEING,BOEING 747C,B747C
819,"Jet, 4-Engine/6-Engine",BOEING,BOEING 747-400,B747-4
820,"Jet, 4-Engine/6-Engine",BOEING,BOEING 747-400F,B747-4F
822,"Jet, 4-Engine/6-Engine",BOEING,BOEING 747SP,B747SP
852,"Jet, 4-Engine/6-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-63F,DC-8-63F
860,"Jet, 4-Engine/6-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-71,DC-8-71
862,"Jet, 4-Engine/6-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-72,DC-8-72
864,"Jet, 4-Engine/6-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-73,DC-8-73
865,"Jet, 4-Engine/6-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-8-73F,DC-8-73F
880,"Jet, 4-Engine/6-Engine",ANTONOV,ANTONOV 124,AN-124
360,Helicopter/Stol,ROBINSON,ROBINSON R44,R44
485,"Turbo-Prop, 1-Engine/2-Engine",DEHAVILLAND,DEHAVILLAND TWIN OTTER DHC-6,DHC-6
459,"Turbo-Prop, 1-Engine/2-Engine",SAAB-FAIRCHILD,SAAB-FAIRCHILD 340/A,SF-340/A
657,"Jet, 2-Engine",BOMBARDIER,BOMBARDIER CRJ 705,CRJ-705
10,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",BEECHCRAFT,BEECH BONANZA 35A/C/D/E/G/H/J/K/S/V/  36A,BONANZA
30,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",CESSNA,CESSNA 180,CE-180
33,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",CESSNA,CESSNA 185A/B/C SKYWAGON,SKYWAGON
34,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",HELIO,HELIO H-250/295/395,COURIER
35,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",CESSNA,CESSNA C206/207/209/210 STATIONAIR,CE-206/7
36,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",CESSNA,CESSNA 172 SKYHAWK,SKYHAWK
39,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",CESSNA,CESSNA 182 SKYLANE,SKYLANE
40,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",DEHAVILLAND OF CANADA,DEHAVILLAND DHC2 BEAVER,BEAVER
42,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",DEHAVILLAND OF CANADA,DEHAVILLAND DHC3 OTTER,OTTER
79,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",PIPER,PIPER PA-32 (CHEROKEE 6),PA-32
91,"Piston, 1-Engine/Combined Single Engine (Piston/Turbine)",,FLOAT/AMPHIB TURBINE,FLT/AMPH
110,"Piston, 2-Engine",BEECHCRAFT,BEECH 18 C-185,BE-18C
117,"Piston, 2-Engine",BEECHCRAFT,BEECH BARON (55 SERIES),BARON
125,"Piston, 2-Engine",CESSNA,CESSNA C-402/402A/402B,CE-402
131,"Piston, 2-Engine",PILATUS BRITTEN-NORMAN,PILATUS BRITTEN-NORMAN BN2/A ISLANDER,ISLANDER
133,"Piston, 2-Engine",BEECHCRAFT,BEECH 65/65A-80/65B-80 (QUEEN AIR),QUEENAIR
150,"Piston, 2-Engine",CURTISS-WRIGHT,CURTISS C46/20T/A/D/F/R COMMANDO,COMMANDO
170,"Piston, 2-Engine",GRUMMAN,GRUMMAN G-21A (GOOSE),GOOSE
185,"Piston, 2-Engine",MARTIN,MARTIN 404,M-404
218,"Piston, 3-Engine/4-Engine",MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-6A,DC-6A
403,"Turbo-Prop, 1-Engine/2-Engine",BEECHCRAFT,BEECH 99 AIRLINER,BE-99
404,"Turbo-Prop, 1-Engine/2-Engine",BEECHCRAFT,BEECH C99,BE-C99
405,"Turbo-Prop, 1-Engine/2-Engine",BEECHCRAFT,BEECH 1900 A/B/C/D,BE-1900
406,"Turbo-Prop, 1-Engine/2-Engine",BEECHCRAFT,BEECH 200 SUPER KINGAIR,KINGAIR
407,"Turbo-Prop, 1-Engine/2-Engine",BRITISH AEROSPACE,BRITISH AEROSPACE (HAWKER-SIDDELEY) BAE-748,BAE-748
412,"Turbo-Prop, 1-Engine/2-Engine","CONSTRUCCIONES AERONAUTICAS,SA",CASA/NURTANIO C212 AVIOCAR,C212
413,"Turbo-Prop, 1-Engine/2-Engine","CONSTRUCCIONES AERONAUTICAS,SA",CASA 235,C 235
416,"Turbo-Prop, 1-Engine/2-Engine",CESSNA,CESSNA 208 CARAVAN,CARAVAN
430,"Turbo-Prop, 1-Engine/2-Engine",CONVAIR,CONVAIR CV-580,CV-580
