AC_TYPEID,Aircraft Group,Manufacturer,Aircraft Name,Aircraft Short Name
441,"Turbo-Prop, 1-Engine/2-Engine",AEROSPATIALE/AERITALIA,AEROSPATIALE/AERITALIA ATR-42,ATR-42
442,"Turbo-Prop, 1-Engine/2-Engine",AEROSPATIALE/AERITALIA,AEROSPATIALE/AERITALIA ATR-72,ATR-72
448,"Turbo-Prop, 1-Engine/2-Engine",DORNIER,DORNIER 228,DO-228
449,"Turbo-Prop, 1-Engine/2-Engine",FAIRCHILD DORNIER,DORNIER 328,DO-328
456,"Turbo-Prop, 1-Engine/2-Engine",SAAB-FAIRCHILD,SAAB-FAIRCHILD 340/B,SF-340/B
457,"Turbo-Prop, 1-Engine/2-Engine",BEECHCRAFT,BEECH KING AIR C-90,KINGAIR
461,"Turbo-Prop, 1-Engine/2-Engine",EMBRAER,EMBRAER EMB-120 BRASILIA,EMB-120
467,"Turbo-Prop, 1-Engine/2-Engine",FAIRCHILD SWEARINGEN,SWEARINGEN METRO III,METRO3
469,"Turbo-Prop, 1-Engine/2-Engine",BRITISH AEROSPACE,BRITISH AEROSPACE JETSTREAM 31,JETSTM31
340,Helicopter/Stol,AMERICAN EUROCOPTER,EUROCOMPTER AS350 B2 ASTAR,AS350 B2
431,"Turbo-Prop, 1-Engine/2-Engine",SOCATA,SOCATA TBM850,TBM850
