Company;Country
Aero Macchi;Italy
Aeronca;United States
Aerospatiale;France
Aerospatiale/Aeritalia;France
Aerospatiale/British Aerospace;France
Agustawestland;Italy
Airbus Industrie;France
American Eurocopter;United States
Antonov;Ukraine
Antonov Design Bureau;Ukraine
Armstrong Whitworth;United Kingdom
Avro International Aerospace;United Kingdom
Beechcraft;United States
Bell;United States
Bellanca;Italy
Boeing;United States
Boeing Vertol;United States
Boelkow;Germany
Bombardier;Canada
Brantley;United States
British Aerosp/Hawker Siddeley;United Kingdom
British Aerospace;United Kingdom
Canadair;Canada
Carstedt;United Kingdom
Cessna;United States
Consolidated Vultee;United States
Construcciones Aeronauticas,Sa;Spain
Convair;United States
Curtiss-Wright;United States
Dassault;France
Dassault-Breguet;France
Dassault Falcon;France
Dehavilland;United Kingdom
Dehavilland Of Canada;Canada
Dornier;France
Embraer;Brazil
Fairchild;United States
Fairchild-Hiller;United States
Fairchild Dornier;United States
Fairchild Swearingen;United States
Fokker;The Netherlands
Fokker/Fairchild;The Netherlands
Gates Learjet;Canada
Grumman;United States
Gulfsteam;United States
Gulfstream;United States
Gulfstream Aerospace;United States
Gulfstream Aerospace (Grumman);United States
Hamilton;Canada
Handley Page;United Kingdom
Hansa;Germany
Hawker Siddeley;United Kingdom
Helio;United States
Howard;United States
Hughes;United States
Ilyushin;Russia
Israel Aircraft Industries;Israel
Kodiak;United States
Lake;Canada
Lockheed;United States
Martin;United States
Mcdonnell Douglas;United States
Mitsubishi;Japan
Mooney;United States
Nihon (Namco);Japan
Noorduyn;United Kingdom
Nord Aviation;France
Pilatus;Switzerland
Pilatus Britten-Norman;Switzerland
Piper;United States
Raytheon Beechcraft;United States
Robinson;United States
Rockwell;United States
Saab-Fairchild;Sweden
Short Bros.;United Kingdom
Sikorsky;United States
Socata;France
Stinson;United States
Sud Aviation;France
Swearingen;United States
Tupolev;Russia
Vickers;United Kingdom
Volpar;United States
Westland;United Kingdom
Yakolev;Russia
