%Destination Airport Market ID	Destination Market
30003	"Granite Mountain, AK"
30004	"Lik, AK"
30005	"Little Squaw, AK"
30006	"Kizhuyak, AK"
30007	"Klawock, AK"
30008	"Elizabeth Island, AK"
30009	"Homer, AK"
30010	"Hudson, NY"
30011	"Peach Springs, AZ"
30013	"Crosbyton, TX"
30015	"Deadmans Bay, AK"
30016	"Hallo Bay, AK"
30017	"Red Lake, AK"
30019	"Kougarok, AK"
30020	"Selawik, AK"
30025	"Cinnabar, AK"
30026	"Mountaintop Mine, AK"
30030	"Port Vita, AK"
30032	"Lonely, AK"
30033	"Alpine, AK"
30036	"Bradley Lake, AK"
30039	"Ivotuk, AK"
30040	"Pogo Mines, AK"
30041	"Ayakulik River, AK"
30042	"Kiluda Bay, AK"
30044	"Selief Bay, AK"
30049	"Deep Bay, AK"
30050	"Kako, AK"
30053	"Cape Simpson, AK"
30064	"Wien Lake, AK"
30065	"Silver Salmon Creek, AK"
30069	"Bear Lake, AK"
30070	"Kodiak, AK"
30073	"Deadhorse, AK"
30076	"Yukon Charley Rivvers, AK"
30082	"Cold Bay, AK"
30085	"Chinitna Bay, AK"
30086	"McKinley Park, AK"
30089	"Red Fox Bay, AK"
30096	"Petrof Point, AK"
30097	"Denali, AK"
30107	"Barrow, AK"
30110	"Akulik, AK"
30111	"Deadfall, AK"
30113	"Bethel, AK"
30114	"Trading Bay, AK"
30116	"Kachemak Bay, AK"
30125	"Aalborg, Denmark"
30130	"Aarhus, Denmark"
30135	"Allentown/Bethlehem/Easton, PA"
30136	"Abilene, TX"
30139	"Ambler, AK"
30140	"Albuquerque, NM"
30141	"Aberdeen, SD"
30144	"Abuja, Nigeria"
30146	"Albany, GA"
30148	"Acapulco, Mexico"
30149	"Bellaire, MI"
30150	"Accra, Ghana"
30151	"Arrecife, Spain"
30154	"Nantucket, MA"
30155	"Waco, TX"
30157	"Eureka/Arcata, CA"
30158	"Atlantic City, NJ"
30159	"Adana, Turkey"
30162	"Addis Ababa, Ethiopia"
30164	"Amman, Jordan"
30165	"Adak Island, AK"
30167	"Ardmore, OK"
30172	"Camp Springs, MD"
30181	"Buenos Aires, Argentina"
30184	"Allakaket, AK"
30185	"Alexandria, LA"
30186	"Akureyri, Iceland"
30189	"Colorado Springs, CO"
30190	"Nebraska, NE"
30192	"Wadesboro, NC"
30194	"Dallas/Fort Worth, TX"
30196	"Agadir, Morocco"
30198	"Pittsburgh, PA"
30204	"Angoon, AK"
30205	"Malaga, Spain"
30208	"Augusta, GA"
30209	"Ciudad del Este, Paraguay"
30210	"Aguascalientes, Mexico"
30216	"Athens, GA"
30221	"Alliance, NE"
30224	"Aiken, SC"
30225	"Wainwright, AK"
30235	"Aracaju, Brazil"
30237	"Atka, AK"
30241	"Akiak, AK"
30243	"Akhiok, AK"
30244	"Auckland, New Zealand"
30245	"King Salmon, AK"
30247	"Anaktuvuk Pass, AK"
30248	"Akure, Nigeria"
30254	"Alabaster, AL"
30255	"Huntsville, AL"
30256	"Almaty, Kazakhstan"
30257	"Albany, NY"
30258	"Alicante, Spain"
30266	"Alamogordo, NM"
30268	"Waterloo, IA"
30272	"Alamosa, CO"
30275	"Walla Walla, WA"
30278	"Lazy Bay, AK"
30279	"Amarillo, TX"
30280	"Ahmedabad, India"
30285	"Durango, CO"
30292	"Amsterdam, Netherlands"
30298	"Anniston, AL"
30299	"Anchorage, AK"
30300	"Anderson, SC"
30301	"Angers, France"
30302	"Antofagasta, Chile"
30304	"Aniak, AK"
30305	"Ankara, Turkey"
30309	"Annapolis, MD"
30312	"St. Johns, Antigua and Barbuda"
30313	"Anvik, AK"
30317	"Lima, OH"
30319	"Aomori, Japan"
30322	"Altoona, PA"
30324	"Amook Bay, AK"
30325	"Denver, CO"
30327	"Napa, CA"
30329	"Naples, FL"
30330	"Aberdeen, MD"
30333	"Alpena, MI"
30338	"Apia, Samoa"
30345	"Russellville, AR"
30347	"New Iberia, LA"
30348	"Ann Arbor, MI"
30349	"Arctic Village, AK"
30354	"Arica, Chile"
30357	"Stockholm, Sweden"
30361	"Watertown, NY"
30371	"Andros Town, The Bahamas"
30372	"Aspen, CO"
30374	"Nashua, NH"
30380	"Talladega, AL"
30385	"Astoria/Seaside, OR"
30386	"Asuncion, Paraguay"
30388	"Ashland, WI"
30394	"Athens, Greece"
30396	"Atqasuk, AK"
30397	"Atlanta, GA (Metropolitan Area)"
30404	"Artesia, NM"
30405	"Atmautluak, AK"
30406	"Attu, AK"
30408	"Appleton, WI"
30409	"Watertown, SD"
30411	"Aruba, Aruba"
30414	"Augusta/Waterville, ME"
30415	"Abu Dhabi, United Arab Emirates"
30416	"Alakanuk, AK"
30417	"Austin/Albert Lea, MN"
30419	"Auburn, AL"
30423	"Austin, TX"
30424	"Wausau/Mosinee/Stevens Point, WI"
30427	"Aurora, IL"
30431	"Asheville, NC"
30432	"Avignon, France"
30434	"Scranton/Wilkes-Barre, PA"
30436	"Tucson, AZ"
30439	"Wake Island, TT"
30444	"The Valley, Anguilla"
30448	"Armenia, Colombia"
30449	"Alexandria, MN"
30452	"Akita, Japan"
30463	"Grand Canyon, AZ"
30464	"Williams, AZ"
30466	"Phoenix, AZ"
30469	"Kalamazoo, MI"
30470	"Samana, Dominican Republic"
30471	"Biddeford, ME"
30472	"Carrabassett, ME"
30476	"Shreveport, LA"
30478	"Westfield, MA"
30480	"Manama, Bahrain"
30482	"Baku, Azerbaijan"
30486	"Barranquilla, Colombia"
30500	"Basse Terre, Guadeloupe"
30503	"Bucharest, Romania"
30504	"Blue Bell, PA"
30508	"Blacksburg, VA"
30511	"Bryce Canyon, UT"
30517	"Barcelona, Spain"
30519	"Boca Raton, FL"
30521	"Hamilton, Bermuda"
30529	"Hartford, CT"
30535	"Bridgeport, CT"
30538	"Bandon, OR"
30540	"Bedford, MA"
30543	"Benton Harbor/St. Joseph, MI"
30545	"Belem, Brazil"
30547	"Benghazi, Libya"
30549	"Berlin, Germany"
30550	"Brest, France"
30555	"Beirut, Lebanon"
30556	"Blue Fox Bay, AK"
30557	"Bradford, PA"
30558	"Scottsbluff, NE"
30559	"Seattle, WA"
30561	"Bakersfield, CA"
30562	"Mobile, AL"
30568	"Belfast, United Kingdom"
30569	"Beaufort, SC"
30575	"Barbados/Bridgetown, Barbados"
30577	"Binghamton, NY"
30581	"Bangor, ME"
30586	"Bage, Brazil"
30589	"Bar Harbor, ME"
30590	"Bullhead City, AZ"
30599	"Birmingham, AL"
30604	"Bathurst, Australia"
30608	"Birmingham, United Kingdom"
30610	"Belo Horizonte, Brazil"
30612	"Big Creek, AK"
30613	"Block Island, RI"
30615	"El Paso, TX"
30616	"Big Delta, AK"
30617	"Bishop, CA"
30620	"Billings, MT"
30621	"Bimini, The Bahamas"
30623	"Bilbao, Spain"
30625	"Biarritz, France"
30627	"Bismarck/Mandan, ND"
30629	"Biloxi, MS"
