AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
97;0;Stin.Fw 300-450 Hp;Stinson;Stinson F.W. 300-450 Hp;Stnsn Fw;1950-01-01;
98;0;Stin.Fw Lt 300 Hp;Stinson;Stinson 0-299 Hp;Stnsn Fw;1950-01-01;
646;6;Cssna Citationiii;Cessna;Cessna Citation X Model 650/550B/550Xl;Citatnx;1978-06-01;
470;4;Gulfstream I;Gulfstream Aerospace (Grumman);Gulfstream I;G-159;1990-01-01;
473;4;Gulfstream I Comm;Gulfstream Aerospace (Grumman);Gulfstream I-Commander;G-159Com;1990-01-01;
475;4;Nord 262;Nord Aviation;Nord 262;N-262;1990-01-01;
477;4;Mohawk 298;Nord Aviation;Mohawk 298;Mo-298;1990-01-01;
478;4;Piper T-1040;Piper;Piper T-1040;Pa-T1040;1990-01-01;
480;4;Pilatus Portr Pc6A;Pilatus;Pilatus Turbo Porter Pc-6A;Pc-6A;1990-01-01;
481;4;Pilatus Portr Pc6B;Pilatus;Pilatus Turbo Porter Pc-6B;Pc-6B;1990-01-01;
483;4;Dhc8-100 Dash 8;Dehavilland;Dehavilland Dhc8-100 Dash-8;Dash8-1;1990-01-01;
486;4;Short Harland Sc-7;Short Bros.;Shorts Harland Sc-7 Skyvan;Skyvan;1990-01-01;
487;4;Shorts 330;Short Bros.;Shorts 330;Short330;1990-01-01;
488;4;Carstedt Cj-600A;Carstedt;Carstedt Cj-600A;Cj-600A;1990-01-01;
489;4;Shorts 360;Short Bros.;Shorts 360;Short360;1990-01-01;
490;4;Volpar Turbo 18;Volpar;Volpar Turbo 18;Volpar18;1990-01-01;
508;5;Antonov An-22-F;Antonov;Antonov An-22 Freighter;An-22F;1990-01-01;
510;5;Aw-650;Armstrong Whitworth;Aw-650;Aw-650;1990-01-01;
520;5;Canadair Cl-44D;Canadair;Canadair Cl-44D;Cl-44D;1990-01-01;
541;5;Ilyushin 18;Ilyushin;Ilyushin Il-18;Il-18;1990-01-01;
550;5;Lockheed L-188A/C;Lockheed;Lockheed L-188A/C Electra;Electra;1990-01-01;
552;5;Lockheed L-382B;Lockheed;Lockheed L-382B;L-382B;1990-01-01;
553;5;Lockheed L100-10;Lockheed;Lockheed L100-10 Hercules;Hercules;1990-01-01;
555;5;Lockheed L100-20;Lockheed;Lockheed L100-20 Hercules;Hercules;1990-01-01;
556;5;Lockheed L100-30;Lockheed;Lockheed L100-30/L-382E;Hercules;1990-01-01;
560;5;Shorts-Belfast-Sh5;Short Bros.;Shorts Belfast Freighter-Sh5;Sh5;1990-01-01;
570;5;Dehavilland Dash-7;Dehavilland;Dehavilland Dhc7 Dash-7;Dash-7;1990-01-01;
580;5;Vv-700;Vickers;Vickers Viscount 700/744/745/745D;Vv-700;1990-01-01;
584;5;Vv-800;Vickers;Vickers Viscount V800/810/812;Vv-800;1990-01-01;
601;6;Fokker F28-1000;Fokker;Fokker F28-1000 Fellowship;F28-1000;1990-01-01;
602;6;F28-4000/6000;Fokker;Fokker F28-4000/6000 Fellowship;F28-4000;1990-01-01;
603;6;Fokker 100;Fokker;Fokker 100;Fokkr100;1990-01-01;
605;6;Bac-111-200;British Aerospace;British Aerospace Bac-111-200;Bac-111;1990-01-01;
610;6;Bac-111-400;British Aerospace;British Aerospace Bac-111-400;Bac-111;1990-01-01;
611;6;Aero Commnder 1121;Rockwell;Aero Commander 1121;Commandr;1990-01-01;
613;6;Aerospatl Corvette;Aerospatiale;Aerospatiale Corvette;Corvette;1990-01-01;
616;6;Boeing 737-500;Boeing;Boeing 737-500;B737-5;1990-01-01;
617;6;Boeing 737-400;Boeing;Boeing 737-400;B737-4;1990-01-01;
618;6;Boeing 737-300Lr;Boeing;Boeing 737-300Lr;B737-3Lr;1990-01-01;
619;6;Boeing 737-300;Boeing;Boeing 737-300;B737-3;1990-01-01;
621;6;Boeing 737-200C;Boeing;Boeing 737-200C;B737-2C;1990-01-01;
622;6;Boeing 757-200;Boeing;Boeing 757-200;B757-2;1990-01-01;
625;6;Boeing 767-200/Er;Boeing;Boeing 767-200/Er/Em;B767-2/R;1990-01-01;
626;6;Boeing 767-300/Er;Boeing;Boeing 767-300/300Er;B767-3/R;1990-01-01;
630;6;Douglas Dc-9-10;Mcdonnell Douglas;Mcdonnell Douglas Dc-9-10;Dc-9-10;1990-01-01;
631;6;Canadair Rj-700;Canadair;Canadair Rj-700;Rj-700;1990-01-01;
635;6;Douglas Dc-9-15F;Mcdonnell Douglas;Mcdonnell Douglas Dc-9-15F;Dc-9-15F;1990-01-01;
640;6;Douglas Dc-9-30;Mcdonnell Douglas;Mcdonnell Douglas Dc-9-30;Dc-9-30;1990-01-01;
645;6;Douglas Dc-9-40;Mcdonnell Douglas;Mcdonnell Douglas Dc-9-40;Dc-9-40;1990-01-01;
650;6;Douglas Dc-9-50;Mcdonnell Douglas;Mcdonnell Douglas Dc-9-50;Dc-9-50;1990-01-01;
655;6;Md-80,1,2,3,8;Mcdonnell Douglas;Mcdonnell Douglas Dc9 Super 80/Md81/82/83/88;Md-80;1990-01-01;
660;6;Lear-23;Gates Learjet;Gates Learjet Lear-23;Lear-23;1990-01-01;
661;6;Lear-24;Gates Learjet;Gates Learjet Lear-24;Lear-24;1990-01-01;
662;6;Lear-25;Gates Learjet;Gates Learjet Lear-25;Lear-25;1990-01-01;
663;6;Lear-35;Gates Learjet;Gates Learjet Lear-31/35/36;Lear-35;1990-01-01;
664;6;Hfb-320 Hansa;Hansa;Hfb-320 Hansa;Hfb-320;1990-01-01;
620;6;Boeing 737-100/200;Boeing;Boeing 737-100/200;B737-1/2;1990-01-01;
111;1;Beech Kingair 90;Beechcraft;Beech King Air 90;King Air;1990-01-01;
823;8;Boeing 747-200F;Boeing;Boeing 747-200F;B747-2F;1990-01-01;
484;4;Dhc8-300 Dash 8;Dehavilland;Dehavilland Dhc8-300 Dash 8;Dhc8-300;1990-01-01;
817;8;Boeing 747-200/300;Boeing;Boeing 747-200/300;B747-2/3;1990-01-01;
890;8;Antonov 225;Antonov;Antonov 225 (6 Engine);An-225;1990-01-01;
694;6;A320-100/200;Airbus Industrie;Airbus Industrie A320-100/200;A320-1/2;1990-01-01;
670;6;Rockwell Sabrelinr;Rockwell;Rockwell Sabreliner;Sabrelnr;1990-01-01;
680;6;Caravelle Se-210;Aerospatiale;Aerospatiale Caravelle Se-210;Caravlle;1990-01-01;
681;6;Dassault Falcon;Dassault-Breguet;Dassault-Breguet Mystere-Falcon;Falcon;1990-01-01;
690;6;A300B/C/F-100/200;Airbus Industrie;Airbus Industrie A300B/C/F-100/200;A300-1/2;1990-01-01;
